stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
769,769,"76th Ave W & 219th St SW",47.800789,-122.335532,0,
770,770,"76th Ave W & 230th St SW",47.790797,-122.335392,0,
771,771,"76th Ave W & 236th St SW",47.785298,-122.335307,0,
772,772,"76th Ave W & 244th St SW",47.778617,-122.335210,0,
774,774,"76th Ave W & 206th St SW",47.812650,-122.335673,0,
775,775,"76th Ave W & 234th St SW",47.787256,-122.335333,0,
778,778,"8th St & Alder St",47.862963,-121.809792,0,
781,781,"84th Ave W & 216th St SW",47.803816,-122.346436,0,
782,782,"84th Ave W & 218th St SW",47.801932,-122.346423,0,
783,783,"84th Ave W & 220th St SW",47.800291,-122.346397,0,
784,784,"84th Ave W & 224th St SW",47.796243,-122.346329,0,
785,785,"84th Ave W & 228th St SW",47.793251,-122.346270,0,
786,786,"84th Ave W & 230th St SW",47.790808,-122.346255,0,
787,787,"84th Ave W & 236th St SW",47.785375,-122.346144,0,
789,789,"84th Ave W & Holly Ln",47.788508,-122.346242,0,
794,794,"9th Ave N & Hindley Ln",47.819957,-122.366935,0,
800,800,"91st Ave SE & 16th Pl SE",47.981162,-122.108755,0,
801,801,"91st Ave SE & 8th St SE",47.988288,-122.108677,0,
807,807,"Airport Rd & Admiralty Way",47.884833,-122.254348,0,
808,808,"Airport Rd & E Gibson Rd",47.882200,-122.250961,0,
815,815,"Beardslee Blvd & NE 195th St",47.767905,-122.190915,0,
817,817,"Beverly Park Rd & 132nd St SW",47.878987,-122.286102,0,
818,818,"Beverly Park Rd & 134th Pl SW",47.876718,-122.288644,0,
819,819,"Beverly Park Rd & 49th Pl W",47.867920,-122.300049,0,
820,820,"Beverly Park Rd & 140th St SW",47.871449,-122.294594,0,
823,823,"Beverly Park Rd & 142nd Pl SW",47.869659,-122.296560,0,
824,824,"Beverly Park Rd & 47th Pl W",47.874632,-122.291016,0,
825,825,"Bickford Ave & 34th St",47.948621,-122.113666,0,
837,837,"Brook Blvd & 175th St SE",47.840178,-122.201412,0,
839,839,"Brook Blvd & Palomino Dr",47.836517,-122.204614,0,
840,840,"S Stillaguamish Ave & 207th Pl NE",48.184575,-122.118036,0,
841,841,"Cedar Ave & 10th St",48.057699,-122.180365,0,
842,842,"Cedar Way & 236th St SW",47.785495,-122.290733,0,
844,844,"Cedar Way & 232nd St SW",47.788022,-122.291520,0,
846,846,"Chennault Beach Rd & Harbour Reach Dr",47.895433,-122.300538,0,
856,856,"Cypress Way & 205th St SW",47.812521,-122.258822,0,
857,857,"Ave D & 13th St",47.928606,-122.099120,0,
859,859,"Ave D & Fifth St",47.918006,-122.098127,0,
860,860,"Ave D & 10th St",47.923379,-122.097796,0,
880,880,"Firdale Ave & 240th Pl SW",47.781179,-122.366049,0,
881,881,"Firdale Ave & 243rd Pl SW",47.778391,-122.362649,0,
887,887,"Grade Rd & Hwy 92",48.030086,-122.072077,0,
888,888,"Grade Rd & 22nd St NE",48.018973,-122.062910,0,
889,889,"Grade Rd & Catherine Dr",48.025005,-122.064668,0,
894,894,"Harbour Pointe Blvd & 47th Pl W",47.904914,-122.295342,0,
895,895,"Harbour Pointe Blvd SW & 52nd Pl W",47.886141,-122.304832,0,
896,896,"Harbour Pointe Blvd & N Grove Dr",47.893849,-122.311178,0,
897,897,"Harbour Pointe Blvd & Double Eagle Dr",47.888091,-122.310548,0,
898,898,"Harbour Pointe Blvd & Harbour Heights Pkwy",47.895594,-122.307890,0,
911,911,"Marine Dr & Florence Rd",48.223024,-122.335295,0,
912,912,"Marine Dr & Norman Rd",48.213079,-122.335834,0,
913,913,"Marine Dr & 226th St NW",48.201258,-122.337488,0,
914,914,"Marine Dr & Old Marine Dr",48.208478,-122.336559,0,
916,916,"Marine Dr & 201st St NW",48.179192,-122.351851,0,
917,917,"Marine Dr & Warm Beach Conference Center",48.184381,-122.346738,0,
926,926,"Mountain Loop Hwy & Alvord St",48.251867,-121.601024,0,
927,927,"Mountain Loop Hwy & Seeman St",48.254840,-121.601604,0,
930,930,"N Olympic Ave & E 2nd St",48.193939,-122.126348,0,
934,934,"Olympic View Dr & 170th Pl SW",47.844597,-122.319360,0,
940,940,"Olympic View Dr & 172nd St SW",47.842840,-122.321880,0,
951,951,"Shoultes Rd & 103rd Pl NE",48.088913,-122.166769,0,
954,954,"Smokey Point Blvd & 152nd St NE",48.134498,-122.183027,0,
959,959,"Smokey Point Blvd & 156th St NE",48.138339,-122.182942,0,
960,960,"Smokey Point Blvd & 166th Pl NE",48.145689,-122.182839,0,
963,963,"Hwy 525 & 80th St SW",47.926122,-122.300137,0,
967,967,"Hwy 525 & Clover Ln",47.933567,-122.306237,0,
968,968,"Hwy 525 & Goat Trail Rd",47.939845,-122.305691,0,
969,969,"Hwy 525 & Harbour Pointe Blvd SW",47.890339,-122.285038,0,
972,972,"Hwy 525 & 15th Pl",47.937176,-122.305962,0,
973,973,"Hwy 525 & 76th St SW",47.929024,-122.301099,0,
974,974,"Hwy 525 & Chennault Beach Rd",47.899542,-122.291377,0,
975,975,"Hwy 525 & Harbour Pointe Blvd",47.905471,-122.292797,0,
979,979,"Hwy 527 & 186th Pl SE",47.828838,-122.208904,0,
981,981,"Hwy 527 & 189th Pl SE",47.826735,-122.208257,0,
982,982,"Hwy 527 & 192nd St SE",47.824244,-122.207229,0,
983,983,"Hwy 527 & 196th St SE",47.821067,-122.207290,0,
986,986,"Hwy 527 & 220th St SE",47.799180,-122.211358,0,
990,990,"Hwy 527 & 201st Pl SE",47.814999,-122.207307,0,
992,992,"Hwy 527 & 234th St SE",47.785210,-122.219635,0,
994,994,"Hwy 9 & Lundeen Pkwy",48.013578,-122.107936,0,
995,995,"Hwy 9 & Hwy 204",48.003497,-122.106220,0,
997,997,"Hwy 99 & 60th Ave W",47.824672,-122.311861,0,
998,998,"Hwy 99 & 40th Ave W",47.860083,-122.285529,0,
1001,1001,"Hwy 99 & 156th St SW",47.858136,-122.287345,0,
1002,1002,"Hwy 99 & 44th Ave W",47.851532,-122.292503,0,
1004,1004,"Hwy 99 & 174th Pl SW",47.841407,-122.297368,0,
1006,1006,"Hwy 99 & 188th St SW",47.829233,-122.307911,0,
1009,1009,"Hwy 99 & 204th St SW",47.814386,-122.320722,0,
1010,1010,"Hwy 99 & 208th St SW",47.810774,-122.323474,0,
1011,1011,"Hwy 99 & 212th St SW",47.807360,-122.325949,0,
