shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
101:179,47.817183,-122.318556,200019,11506.72
101:179,47.816870,-122.318830,210002,11547.13
101:179,47.816690,-122.318990,210003,11570.48
101:179,47.816490,-122.319160,210004,11596.12
101:179,47.816370,-122.319270,210005,11611.78
101:179,47.816290,-122.319340,210006,11622.12
101:179,47.816210,-122.319400,210007,11632.08
101:179,47.816050,-122.319540,210008,11652.72
101:179,47.815810,-122.319740,210009,11683.29
101:179,47.815390,-122.320110,210010,11737.60
101:179,47.815280,-122.320210,210011,11751.93
101:179,47.815205,-122.320275,210012,11761.59
101:179,47.815130,-122.320340,220002,11771.22
101:179,47.815080,-122.320380,220003,11777.53
101:179,47.814930,-122.320510,220004,11796.86
101:179,47.814860,-122.320570,220005,11805.85
101:179,47.814700,-122.320700,220006,11826.12
101:179,47.814590,-122.320800,220007,11840.44
101:179,47.814480,-122.320900,220008,11854.80
101:179,47.814020,-122.321300,220009,11914.08
101:179,47.813820,-122.321460,220010,11939.32
101:179,47.813720,-122.321540,220011,11951.94
101:179,47.813640,-122.321600,220012,11961.91
101:179,47.813560,-122.321660,220013,11971.87
101:179,47.813390,-122.321800,220014,11993.48
101:179,47.813320,-122.321850,220015,12002.14
101:179,47.813110,-122.322020,220016,12028.72
101:179,47.813050,-122.322070,220017,12036.37
101:179,47.812950,-122.322140,220018,12048.65
101:179,47.812750,-122.322290,220019,12073.55
101:179,47.812680,-122.322340,220020,12082.21
101:179,47.812330,-122.322590,220021,12125.40
101:179,47.812240,-122.322660,220022,12136.71
101:179,47.812040,-122.322800,220023,12161.28
101:179,47.811780,-122.322990,220024,12193.52
101:179,47.811690,-122.323050,220025,12204.50
101:179,47.811410,-122.323250,220026,12239.06
101:179,47.811360,-122.323290,220027,12245.37
101:179,47.811180,-122.323420,220028,12267.62
101:179,47.811050,-122.323520,220029,12283.93
101:179,47.810630,-122.323820,220030,12335.71
101:179,47.810460,-122.323940,220031,12356.62
101:179,47.810180,-122.324140,220032,12391.19
101:179,47.810030,-122.324250,220033,12409.81
101:179,47.809900,-122.324350,220034,12426.09
101:179,47.809830,-122.324400,220035,12434.74
101:179,47.809760,-122.324450,220036,12443.40
101:179,47.809690,-122.324500,220037,12452.02
101:179,47.809652,-122.324525,220038,12456.66
101:179,47.809630,-122.324540,230002,12459.37
101:179,47.809390,-122.324720,230003,12489.27
101:179,47.809320,-122.324770,230004,12497.90
101:179,47.809260,-122.324820,230005,12505.55
101:179,47.809080,-122.324950,230006,12527.80
101:179,47.808830,-122.325130,230007,12558.67
101:179,47.808750,-122.325190,230008,12568.64
101:179,47.808390,-122.325440,230009,12612.84
101:179,47.808340,-122.325480,230010,12619.18
101:179,47.808190,-122.325590,230011,12637.74
101:179,47.808090,-122.325660,230012,12650.05
101:179,47.807860,-122.325820,230013,12678.31
101:179,47.807710,-122.325930,230014,12696.93
101:179,47.807600,-122.326010,230015,12710.53
101:179,47.807450,-122.326120,230016,12729.15
101:179,47.807260,-122.326250,230017,12752.40
101:179,47.807130,-122.326340,230018,12768.35
101:179,47.806850,-122.326540,230019,12802.88
101:179,47.806400,-122.326870,230020,12858.72
101:179,47.806180,-122.327030,230021,12885.94
101:179,47.806090,-122.327090,230022,12896.91
101:179,47.805850,-122.327270,230023,12926.81
101:179,47.805600,-122.327450,230024,12957.72
101:179,47.805550,-122.327480,230025,12963.69
101:179,47.805388,-122.327598,230026,12983.81
101:179,47.804860,-122.327980,240002,13049.07
101:179,47.804830,-122.328000,240003,13052.69
101:179,47.804760,-122.328050,240004,13061.35
101:179,47.804580,-122.328190,240005,13083.97
101:179,47.804470,-122.328270,240006,13097.59
101:179,47.804420,-122.328310,240007,13103.90
101:179,47.804190,-122.328470,240008,13132.16
101:179,47.804140,-122.328510,240009,13138.46
101:179,47.804020,-122.328590,240010,13153.06
101:179,47.803890,-122.328680,240011,13169.04
101:179,47.803740,-122.328790,240012,13187.66
101:179,47.803580,-122.328900,240013,13207.26
101:179,47.803370,-122.329050,240014,13233.20
101:179,47.803220,-122.329160,240015,13251.82
101:179,47.802860,-122.329430,240016,13296.66
101:179,47.802570,-122.329640,240017,13332.50
101:179,47.802520,-122.329680,240018,13338.84
101:179,47.802474,-122.329712,240019,13344.51
101:179,47.802350,-122.329800,250002,13359.75
101:179,47.802270,-122.329850,250003,13369.38
101:179,47.802160,-122.329930,250004,13383.04
101:179,47.802020,-122.330030,250005,13400.32
101:179,47.801800,-122.330190,250006,13427.54
101:179,47.801610,-122.330330,250007,13451.16
101:179,47.801230,-122.330610,250008,13498.31
101:179,47.800890,-122.330850,250009,13540.16
101:179,47.800550,-122.331090,250010,13582.01
101:179,47.800510,-122.331120,250011,13586.98
101:179,47.799900,-122.331560,250012,13662.39
101:179,47.799640,-122.331750,250013,13694.60
101:179,47.799530,-122.331930,250014,13712.80
101:179,47.799410,-122.332030,250015,13728.10
101:179,47.799290,-122.332120,250016,13743.04
101:179,47.799180,-122.332200,250017,13756.63
101:179,47.799070,-122.332270,250018,13769.95
101:179,47.798894,-122.332394,250019,13791.59
101:179,47.798660,-122.332560,260002,13820.42
101:179,47.798310,-122.332810,260003,13863.61
101:179,47.798130,-122.332920,260004,13885.25
101:179,47.798020,-122.332990,260005,13898.57
101:179,47.797790,-122.333160,260006,13927.16
101:179,47.797630,-122.333280,260007,13947.07
101:179,47.797500,-122.333370,260008,13963.04
101:179,47.797360,-122.333470,260009,13980.32
101:179,47.797130,-122.333630,260010,14008.58
101:179,47.796890,-122.333800,260011,14038.14
101:179,47.796730,-122.333910,260012,14057.77
101:179,47.796490,-122.334090,260013,14087.67
101:179,47.796290,-122.334230,260014,14112.27
101:179,47.795990,-122.334450,260015,14149.46
101:179,47.795520,-122.334780,260016,14207.28
101:179,47.795515,-122.334783,260017,14207.86
101:179,47.795380,-122.334880,270002,14224.53
101:179,47.795260,-122.334970,270003,14239.49
